assignment_id,worker_id,task_id,supervisor_id,skill,priority,status
A1,W1075,T456,S185,Data Analysis,Critical,Completed
A2,W1441,T390,S134,C++,Low,In Progress
A3,W1367,T1223,S106,Cybersecurity,Critical,Completed
A4,W1185,T1450,S185,Cybersecurity,High,Pending
A5,W1718,T1088,S104,Project Management,High,Completed
A6,W1993,T1560,S150,Data Analysis,Critical,On Hold
A7,W1044,T912,S180,Project Management,High,On Hold
A8,W1235,T1345,S115,Data Analysis,Medium,In Progress
A9,W1522,T1877,S126,Java,Medium,In Progress
A10,W1577,T496,S134,C++,Medium,In Progress
A11,W1485,T14,S157,Project Management,Critical,Completed
A12,W1355,T601,S142,Project Management,Critical,Pending
A13,W1108,T29,S112,Java,Medium,On Hold
A14,W1753,T151,S140,DevOps,Critical,On Hold
A15,W1842,T1273,S165,UI/UX,Critical,On Hold
A16,W1681,T1199,S143,C++,High,In Progress
A17,W1664,T888,S194,Python,High,In Progress
A18,W1333,T66,S142,Java,Medium,Pending
A19,W1306,T1456,S154,DevOps,High,In Progress
A20,W1459,T446,S137,Python,High,Completed
A21,W1238,T426,S133,Project Management,Low,Completed
A22,W1538,T1180,S113,Java,High,Pending
A23,W1485,T955,S171,Data Analysis,Critical,Completed
A24,W1587,T701,S180,Data Analysis,Medium,In Progress
A25,W1468,T1344,S104,Project Management,Low,On Hold
A26,W1323,T499,S150,C++,Medium,Completed
A27,W1744,T1128,S146,UI/UX,Critical,In Progress
A28,W1667,T1042,S181,Python,High,Completed
A29,W1181,T1614,S125,Python,High,On Hold
A30,W1700,T137,S160,Cybersecurity,Medium,Completed
A31,W1144,T1055,S136,Cybersecurity,High,In Progress
A32,W1074,T265,S142,DevOps,Medium,Completed
A33,W1602,T905,S132,UI/UX,High,On Hold
A34,W1829,T1813,S176,Cybersecurity,High,In Progress
A35,W1510,T518,S139,C++,Low,Pending
A36,W1690,T504,S119,C++,High,Completed
A37,W1710,T1986,S101,Cybersecurity,Low,Completed
A38,W1297,T1288,S195,Java,High,In Progress
A39,W1226,T1729,S102,UI/UX,Critical,In Progress
A40,W1128,T1163,S125,C++,Low,Pending
A41,W1255,T1576,S184,Java,Low,On Hold
A42,W1453,T945,S137,C++,Critical,Pending
A43,W1185,T1590,S117,Data Analysis,Low,On Hold
A44,W1927,T1697,S115,Python,Medium,In Progress
A45,W1611,T1352,S163,Python,Low,In Progress
A46,W1639,T907,S108,DevOps,Critical,In Progress
A47,W1528,T787,S194,UI/UX,Low,On Hold
A48,W1362,T485,S142,DevOps,Critical,Pending
A49,W1605,T1470,S134,Python,Critical,Completed
A50,W1801,T1969,S194,UI/UX,Medium,Completed
A51,W1111,T1260,S191,Project Management,Critical,Completed
A52,W1612,T1054,S127,Cybersecurity,Medium,In Progress
A53,W1216,T390,S199,Cybersecurity,Critical,On Hold
A54,W1372,T1239,S144,C++,Medium,In Progress
A55,W1166,T543,S129,Python,Low,Pending
A56,W1789,T155,S153,Java,Low,Completed
A57,W1171,T1106,S101,DevOps,Low,Pending
A58,W1682,T1838,S173,Project Management,Low,On Hold
A59,W1844,T591,S103,Cybersecurity,Low,Completed
A60,W1876,T1207,S123,C++,High,Pending
A61,W1967,T1896,S133,DevOps,High,Pending
A62,W1171,T1125,S199,DevOps,Critical,Pending
A63,W1557,T1308,S193,Cybersecurity,High,Pending
A64,W1602,T290,S193,Python,Low,In Progress
A65,W1437,T1523,S163,UI/UX,High,Completed
A66,W1761,T817,S123,Data Analysis,Medium,In Progress
A67,W1028,T483,S197,DevOps,Critical,Pending
A68,W1281,T1206,S180,Project Management,High,In Progress
A69,W1561,T457,S182,Data Analysis,High,On Hold
A70,W1308,T416,S115,Java,Medium,Pending
A71,W1495,T1232,S127,DevOps,Critical,On Hold
A72,W1975,T1035,S163,Data Analysis,Low,Pending
A73,W1631,T234,S136,UI/UX,Critical,On Hold
A74,W1816,T41,S142,Project Management,Medium,Completed
A75,W1291,T84,S120,UI/UX,Medium,Pending
A76,W1188,T1938,S130,Project Management,Critical,Completed
A77,W1363,T1386,S115,Cybersecurity,Critical,Pending
A78,W1554,T1943,S151,UI/UX,Critical,On Hold
A79,W1262,T603,S186,Data Analysis,Medium,Pending
A80,W1510,T1,S139,Project Management,High,Pending
A81,W1252,T1650,S125,C++,Low,On Hold
A82,W1926,T1211,S113,Data Analysis,Medium,Pending
A83,W1556,T1796,S143,Python,Medium,Completed
A84,W1003,T1941,S171,Java,Medium,Pending
A85,W1504,T340,S153,Data Analysis,Low,On Hold
A86,W1748,T400,S155,Project Management,High,Completed
A87,W1473,T1021,S112,Java,Low,In Progress
A88,W1655,T718,S127,DevOps,Critical,On Hold
A89,W1355,T1051,S172,DevOps,Medium,Pending
A90,W1263,T1472,S169,Cybersecurity,High,In Progress
A91,W1693,T1916,S121,UI/UX,Medium,Pending
A92,W1880,T157,S129,Data Analysis,Critical,Pending
A93,W1542,T1307,S155,C++,Critical,On Hold
A94,W1640,T641,S152,UI/UX,Critical,Pending
A95,W1180,T1702,S136,DevOps,Medium,Pending
A96,W1630,T257,S147,Cybersecurity,Low,On Hold
A97,W1153,T1524,S172,DevOps,Low,On Hold
A98,W1835,T784,S199,C++,Medium,Pending
A99,W1074,T1428,S191,DevOps,Critical,Pending
A100,W1127,T360,S185,DevOps,High,On Hold
A101,W1468,T302,S192,C++,Medium,In Progress
A102,W1801,T28,S193,C++,Low,On Hold
A103,W1612,T350,S190,Data Analysis,Critical,In Progress
A104,W1217,T1008,S100,DevOps,High,Completed
A105,W1465,T24,S119,UI/UX,Critical,Completed
A106,W1162,T823,S117,Cybersecurity,Medium,On Hold
A107,W1829,T1254,S131,Project Management,Critical,On Hold
A108,W1149,T713,S104,UI/UX,Low,Completed
A109,W1812,T545,S135,Cybersecurity,Critical,Pending
A110,W1969,T670,S145,Project Management,High,Pending
A111,W1147,T1374,S113,C++,Critical,On Hold
A112,W1503,T12,S114,C++,Critical,On Hold
A113,W1024,T1235,S141,Project Management,Critical,In Progress
A114,W1292,T866,S165,C++,High,Completed
A115,W1403,T1397,S178,DevOps,Medium,On Hold
A116,W1548,T4,S104,DevOps,Critical,On Hold
A117,W1850,T1311,S119,C++,High,On Hold
A118,W1003,T1085,S112,Cybersecurity,Medium,Completed
A119,W1005,T208,S196,DevOps,High,In Progress
A120,W1499,T1975,S157,Data Analysis,Medium,On Hold
A121,W1752,T104,S114,DevOps,Critical,On Hold
A122,W1898,T359,S173,DevOps,Medium,On Hold
A123,W1976,T494,S149,UI/UX,High,Pending
A124,W1897,T1818,S193,UI/UX,Low,On Hold
