assignment_id,worker_id,task_id,supervisor_id,skill,priority,status
A1,W1257,T45,S124,UI/UX,Low,In Progress
A2,W1344,T69,S125,DevOps,Critical,On Hold
A3,W1042,T25,S170,Project Management,Critical,On Hold
A4,W1130,T13,S191,Python,Medium,On Hold
A5,W1263,T132,S176,UI/UX,Critical,Completed
A6,W1894,T199,S100,DevOps,Medium,On Hold
A7,W1601,T90,S164,Java,High,On Hold
A8,W1731,T131,S139,C++,Critical,Completed
A9,W1106,T146,S192,Cybersecurity,Low,Pending
A10,W1683,T164,S199,DevOps,High,Pending
A11,W1214,T136,S137,UI/UX,Medium,Pending
A12,W1577,T114,S110,C++,Low,On Hold
A13,W1373,T64,S138,C++,High,Pending
A14,W1634,T125,S121,C++,Low,Pending
A15,W1064,T102,S188,Project Management,Medium,Completed
A16,W1452,T124,S116,Cybersecurity,Low,Pending
A17,W1180,T27,S108,Cybersecurity,Medium,Completed
A18,W1349,T179,S186,DevOps,Low,In Progress
A19,W1450,T119,S167,Project Management,Critical,On Hold
A20,W1527,T158,S185,DevOps,Medium,On Hold
A21,W1440,T66,S133,Java,Medium,On Hold
A22,W1572,T174,S163,Java,Low,On Hold
A23,W1242,T135,S110,Data Analysis,Medium,In Progress
A24,W1434,T28,S157,Java,Low,In Progress
A25,W1826,T34,S115,C++,High,Pending
A26,W1420,T167,S114,Java,Low,In Progress
A27,W1535,T47,S115,C++,Low,Pending
A28,W1885,T166,S184,Data Analysis,High,In Progress
A29,W1034,T89,S119,Python,Critical,In Progress
A30,W1823,T123,S104,Data Analysis,Critical,Pending
A31,W1849,T5,S118,Python,Critical,Pending
A32,W1484,T73,S110,Cybersecurity,Low,Completed
A33,W1701,T109,S154,Python,Low,Pending
A34,W1266,T89,S132,C++,Medium,Pending
A35,W1098,T72,S129,C++,Medium,Pending
A36,W1623,T1,S147,Python,Medium,In Progress
A37,W1909,T170,S131,Data Analysis,High,Completed
A38,W1965,T166,S101,DevOps,Critical,Completed
A39,W1668,T65,S151,Cybersecurity,Low,Pending
A40,W1672,T167,S166,Python,Critical,Completed
A41,W1383,T124,S107,Python,Medium,Pending
A42,W1533,T142,S109,Cybersecurity,Medium,In Progress
A43,W1896,T126,S123,Python,Medium,Pending
A44,W1725,T88,S164,Project Management,High,Pending
A45,W1987,T16,S133,UI/UX,Low,Completed
A46,W1142,T3,S127,Data Analysis,Medium,Pending
A47,W1098,T102,S185,Cybersecurity,Critical,In Progress
A48,W1021,T110,S108,Python,Low,In Progress
A49,W1276,T20,S129,Cybersecurity,Low,On Hold
A50,W1104,T129,S117,Java,Medium,Pending
A51,W1573,T159,S138,Python,High,Completed
A52,W1478,T49,S158,Python,Medium,In Progress
A53,W1331,T54,S177,Data Analysis,High,On Hold
A54,W1269,T130,S104,Java,High,Pending
A55,W1078,T169,S171,Cybersecurity,Critical,Completed
A56,W1718,T177,S105,Data Analysis,Medium,In Progress
A57,W1815,T29,S155,Data Analysis,Medium,In Progress
A58,W1326,T34,S189,Python,Medium,On Hold
A59,W1612,T168,S103,Java,High,On Hold
A60,W1279,T118,S160,Project Management,Critical,In Progress
A61,W1352,T39,S104,Project Management,Low,Pending
A62,W1532,T193,S170,Python,Low,Pending
A63,W1096,T184,S159,Java,Critical,Completed
A64,W1525,T197,S148,Cybersecurity,High,Completed
A65,W1568,T80,S158,Data Analysis,Low,On Hold
A66,W1933,T107,S196,Cybersecurity,High,In Progress
A67,W1082,T51,S153,C++,Low,In Progress
A68,W1393,T96,S145,Cybersecurity,High,In Progress
A69,W1056,T90,S196,Python,High,On Hold
A70,W1046,T45,S185,C++,Critical,Pending
A71,W1645,T99,S154,Python,Low,Pending
A72,W1037,T195,S167,Python,Low,Pending
A73,W1583,T111,S107,Python,Medium,Completed
A74,W1625,T144,S101,DevOps,Low,On Hold
A75,W1887,T193,S138,Data Analysis,High,In Progress
A76,W1484,T77,S178,Project Management,High,On Hold
A77,W1778,T167,S193,Java,Low,Completed
A78,W1049,T66,S118,Java,Critical,Pending
A79,W1735,T79,S124,Data Analysis,Low,Completed
A80,W1271,T28,S195,UI/UX,High,On Hold
A81,W1288,T86,S142,Cybersecurity,Critical,Completed
A82,W1128,T58,S103,Python,Low,Pending
A83,W1192,T175,S147,DevOps,Critical,Pending
A84,W1236,T190,S125,Data Analysis,Critical,In Progress
A85,W1014,T96,S117,Project Management,Critical,On Hold
A86,W1833,T4,S102,Cybersecurity,Medium,Pending
