assignment_id,worker_id,task_id,supervisor_id,skill,priority,status
A1,W1724,T902,S172,Project Management,Critical,On Hold
A2,W1226,T153,S187,Java,Critical,Completed
A3,W1842,T794,S196,Python,Medium,Completed
A4,W1703,T551,S100,Data Analysis,Medium,Completed
A5,W1253,T69,S138,Java,Medium,Pending
A6,W1436,T281,S129,Project Management,High,Completed
A7,W1051,T617,S174,Java,Low,Completed
A8,W1792,T445,S101,UI/UX,Low,On Hold
A9,W1376,T138,S116,Project Management,Medium,In Progress
A10,W1135,T152,S177,Project Management,Critical,On Hold
A11,W1393,T541,S172,DevOps,Medium,Completed
A12,W1829,T318,S114,Data Analysis,Critical,On Hold
A13,W1986,T951,S152,Java,High,Pending
A14,W1618,T357,S199,Project Management,Low,Completed
A15,W1494,T803,S101,Project Management,High,Pending
A16,W1704,T338,S149,Project Management,Medium,In Progress
A17,W1536,T624,S196,Cybersecurity,Low,In Progress
A18,W1456,T491,S133,DevOps,High,Completed
A19,W1468,T445,S110,C++,Medium,On Hold
A20,W1318,T29,S133,Project Management,Medium,Completed
A21,W1883,T643,S132,Cybersecurity,Medium,In Progress
A22,W1912,T240,S197,Project Management,Medium,Pending
A23,W1231,T409,S197,Cybersecurity,Critical,On Hold
A24,W1601,T497,S186,Java,Critical,Pending
A25,W1442,T128,S160,Cybersecurity,Medium,In Progress
A26,W1163,T409,S103,DevOps,Medium,Completed
A27,W1654,T846,S105,UI/UX,Critical,Pending
A28,W1651,T919,S159,Java,Low,Pending
A29,W1682,T587,S132,DevOps,Critical,On Hold
A30,W1552,T752,S199,UI/UX,Critical,In Progress
A31,W1059,T921,S198,Data Analysis,High,Pending
A32,W1218,T936,S185,Data Analysis,Low,On Hold
A33,W1525,T792,S119,UI/UX,Low,In Progress
A34,W1874,T526,S137,Python,High,In Progress
A35,W1678,T224,S138,DevOps,Critical,In Progress
A36,W1242,T725,S165,UI/UX,Low,On Hold
A37,W1949,T86,S124,UI/UX,Critical,Completed
A38,W1049,T359,S116,Cybersecurity,High,Pending
A39,W1295,T220,S153,C++,Medium,Completed
A40,W1418,T411,S159,Data Analysis,High,Pending
A41,W1318,T171,S119,Python,Critical,Pending
A42,W1086,T115,S147,Cybersecurity,Medium,Pending
A43,W1247,T281,S184,Java,Medium,Completed
A44,W1631,T373,S114,UI/UX,Medium,In Progress
A45,W1500,T516,S160,Cybersecurity,Medium,Pending
A46,W1447,T317,S112,Python,High,Pending
A47,W1839,T463,S133,UI/UX,Medium,Pending
A48,W1606,T997,S173,Cybersecurity,Critical,On Hold
A49,W1944,T883,S179,Cybersecurity,Critical,In Progress
A50,W1551,T182,S154,UI/UX,Critical,On Hold
A51,W1533,T650,S158,DevOps,High,Completed
A52,W1980,T321,S183,Python,Critical,Completed
A53,W1075,T315,S170,Python,Critical,Completed
A54,W1068,T450,S198,UI/UX,High,Pending
A55,W1140,T625,S106,Cybersecurity,Critical,In Progress
A56,W1034,T215,S186,Python,Critical,Pending
A57,W1809,T592,S149,Python,Critical,In Progress
A58,W1263,T673,S185,C++,Medium,On Hold
A59,W1151,T484,S123,C++,Low,On Hold
A60,W1641,T67,S142,UI/UX,Critical,Pending
A61,W1618,T991,S163,UI/UX,Medium,On Hold
A62,W1296,T885,S144,Data Analysis,Critical,In Progress
A63,W1028,T270,S185,Project Management,Medium,On Hold
A64,W1852,T638,S150,DevOps,Critical,Pending
A65,W1562,T357,S177,Java,Medium,Completed
A66,W1989,T665,S107,Python,Low,Pending
A67,W1275,T160,S104,C++,Critical,In Progress
A68,W1967,T299,S121,Project Management,Low,Pending
A69,W1550,T405,S169,DevOps,Medium,Pending
A70,W1752,T515,S170,Project Management,Critical,Completed
A71,W1861,T514,S152,Java,High,Completed
A72,W1498,T116,S120,DevOps,Critical,In Progress
A73,W1579,T501,S177,Python,High,On Hold
A74,W1904,T149,S181,DevOps,Critical,Pending
A75,W1416,T385,S153,C++,Critical,On Hold
A76,W1224,T532,S173,Python,High,Pending
A77,W1409,T206,S178,C++,Medium,Pending
A78,W1222,T854,S162,Cybersecurity,Medium,On Hold
A79,W1029,T677,S188,UI/UX,Low,In Progress
A80,W1842,T114,S163,C++,Critical,In Progress
A81,W1821,T81,S116,Java,High,In Progress
A82,W1205,T267,S140,UI/UX,High,In Progress
A83,W1559,T759,S180,UI/UX,Low,Completed
A84,W1295,T547,S142,Project Management,Medium,Pending
A85,W1122,T70,S102,Data Analysis,Low,In Progress
A86,W1960,T684,S120,Project Management,Low,Pending
A87,W1497,T928,S128,Data Analysis,Medium,On Hold
A88,W1745,T596,S185,DevOps,Medium,Pending
A89,W1659,T364,S139,Data Analysis,Medium,On Hold
A90,W1118,T491,S124,UI/UX,Medium,Pending
A91,W1040,T552,S125,Project Management,Medium,In Progress
A92,W1770,T583,S124,C++,Critical,Completed
A93,W1326,T882,S145,Cybersecurity,Medium,Completed
A94,W1659,T905,S113,UI/UX,Medium,In Progress
A95,W1362,T603,S113,Data Analysis,Critical,Pending
A96,W1258,T71,S111,Data Analysis,High,On Hold
A97,W1105,T826,S154,UI/UX,Critical,In Progress
A98,W1798,T54,S168,DevOps,Medium,Pending
A99,W1148,T286,S176,Cybersecurity,Low,In Progress
A100,W1943,T646,S118,DevOps,Critical,In Progress
A101,W1636,T556,S125,Python,Critical,Pending
A102,W1203,T798,S115,Data Analysis,Medium,Pending
A103,W1486,T646,S177,Java,Low,On Hold
A104,W1816,T779,S127,C++,Critical,In Progress
A105,W1687,T817,S111,DevOps,Critical,On Hold
A106,W1366,T271,S190,DevOps,Low,Pending
A107,W1269,T361,S191,Data Analysis,High,Pending
A108,W1417,T970,S175,Project Management,Critical,Completed
A109,W1726,T698,S116,Python,High,On Hold
A110,W1997,T433,S130,Project Management,Medium,Pending
A111,W1083,T382,S173,Data Analysis,Low,Completed
A112,W1142,T416,S110,Data Analysis,Critical,In Progress
A113,W1465,T409,S164,Project Management,Critical,In Progress
A114,W1616,T960,S101,Data Analysis,Critical,Completed
A115,W1903,T746,S135,Python,High,On Hold
A116,W1394,T232,S126,Data Analysis,Low,Completed
A117,W1267,T535,S170,Java,Medium,On Hold
A118,W1090,T796,S160,Python,Low,Pending
A119,W1447,T80,S176,Java,High,In Progress
A120,W1969,T404,S113,Python,Critical,In Progress
A121,W1257,T740,S123,C++,Critical,In Progress
A122,W1187,T8,S150,Data Analysis,High,Pending
A123,W1410,T158,S173,DevOps,Medium,Pending
A124,W1504,T257,S157,Python,Low,Pending
A125,W1696,T591,S171,C++,Critical,In Progress
A126,W1061,T71,S163,Data Analysis,Critical,Pending
A127,W1332,T571,S137,Project Management,Critical,Completed
A128,W1851,T14,S185,Java,High,Pending
A129,W1894,T894,S110,C++,Medium,Pending
A130,W1901,T272,S107,Project Management,High,On Hold
A131,W1141,T986,S187,C++,Low,Completed
A132,W1695,T514,S117,C++,Low,Completed
A133,W1283,T959,S177,DevOps,Low,Pending
A134,W1632,T101,S119,Project Management,Low,Pending
A135,W1755,T466,S157,Java,High,Completed
A136,W1876,T191,S127,Java,Low,In Progress
A137,W1852,T458,S177,UI/UX,High,In Progress
A138,W1765,T226,S163,C++,Low,Completed
A139,W1157,T291,S104,Data Analysis,Low,On Hold
A140,W1002,T168,S128,DevOps,Medium,Completed
A141,W1052,T30,S115,UI/UX,Critical,Pending
A142,W1608,T687,S144,UI/UX,Critical,Completed
A143,W1947,T836,S158,Data Analysis,Medium,In Progress
A144,W1100,T222,S110,Python,Critical,On Hold
A145,W1936,T588,S192,Python,Critical,In Progress
A146,W1516,T505,S169,Project Management,Critical,In Progress
A147,W1573,T96,S111,Project Management,Critical,Pending
A148,W1383,T559,S140,Java,Critical,On Hold
A149,W1711,T256,S122,Python,Low,On Hold
A150,W1833,T338,S183,Cybersecurity,Critical,Completed
A151,W1173,T757,S197,DevOps,Low,Completed
A152,W1229,T750,S174,Data Analysis,High,Completed
A153,W1507,T787,S196,Data Analysis,High,Completed
A154,W1068,T164,S180,DevOps,High,On Hold
A155,W1543,T509,S103,Project Management,High,In Progress
A156,W1498,T802,S188,C++,High,Completed
A157,W1599,T729,S156,DevOps,Critical,In Progress
A158,W1146,T166,S157,Cybersecurity,Critical,Completed
A159,W1460,T779,S166,UI/UX,High,Pending
A160,W1735,T801,S121,Data Analysis,Low,Pending
A161,W1545,T569,S156,DevOps,Low,Pending
A162,W1953,T25,S145,C++,Critical,Completed
A163,W1861,T424,S196,C++,Low,Completed
A164,W1969,T865,S133,Java,Medium,Completed
A165,W1186,T476,S127,DevOps,Critical,On Hold
A166,W1044,T270,S120,C++,Low,On Hold
A167,W1903,T454,S124,DevOps,Medium,Pending
A168,W1790,T756,S167,DevOps,Critical,Completed
A169,W1813,T466,S106,C++,Critical,Pending
A170,W1363,T118,S142,C++,High,On Hold
A171,W1578,T982,S150,UI/UX,Low,Completed
A172,W1966,T102,S173,Project Management,Medium,Pending
A173,W1603,T867,S181,Python,High,On Hold
A174,W1754,T295,S163,Data Analysis,Critical,Completed
A175,W1497,T312,S183,Data Analysis,Critical,In Progress
A176,W1736,T686,S167,Data Analysis,Medium,Pending
A177,W1427,T754,S124,DevOps,Medium,In Progress
A178,W1832,T202,S137,DevOps,High,In Progress
A179,W1322,T345,S107,Python,Critical,Completed
A180,W1143,T87,S111,DevOps,Medium,On Hold
A181,W1365,T312,S165,Project Management,Medium,Completed
A182,W1505,T246,S138,Python,Low,In Progress
A183,W1578,T868,S176,Java,Critical,In Progress
A184,W1063,T888,S166,Project Management,Low,Pending
A185,W1344,T239,S170,Python,High,On Hold
A186,W1982,T404,S128,C++,High,In Progress
A187,W1494,T645,S120,C++,High,On Hold
A188,W1486,T766,S117,Project Management,Low,Completed
A189,W1852,T779,S124,DevOps,Critical,Completed
